store_name,category,new_open,rating,visited_review,blog_review,store_id,address,business_hours,phone_num,lat_lng
육지와바다안주마을,"육류,고기요리",없음,0.0,88,51,1839407673,경기 성남시 수정구 위례광장로 320 2층 210호,"화
12:00 - 02:00
01:30 라스트오더 /수
12:00 - 02:00
01:30 라스트오더 /목
12:00 - 02:00
01:30 라스트오더 /금
12:00 - 02:00
01:30 라스트오더 /토
12:00 - 02:00
01:30 라스트오더 /일
12:00 - 02:00
01:30 라스트오더 /월
12:00 - 02:00
01:30 라스트오더 /",0507-1311-9711,"{'x': 37.472476806814, 'y': 127.14333102782943}"
소요일 위례직영점,"육류,고기요리",없음,0.0,"1,208",116,1986135189,"경기 성남시 수정구 위례광장로 104 1056호, 1057호 소요일","화
14:30 - 23:00
22:10 라스트오더 /수
14:30 - 23:00
22:10 라스트오더 /목
14:30 - 23:00
22:10 라스트오더 /금
12:00 - 23:00
15:30 - 16:30 브레이크타임
22:10 라스트오더 /토
12:00 - 23:00
15:30 - 16:30 브레이크타임
22:10 라스트오더 /일
12:00 - 23:00
15:30 - 16:30 브레이크타임
22:10 라스트오더 /월
14:30 - 23:00
22:10 라스트오더 /",0507-1474-5526,"{'x': 37.4727099, 'y': 127.1415588}"
버킨칩스 위례본점,햄버거,새로오픈,0.0,93,44,1976406524,"경기 성남시 수정구 위례광장로 82 상가동 1층 107-2, 108-1, 108-2호","매일
10:30 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더 /",0507-1421-0311,"{'x': 37.472476806814, 'y': 127.14333102782943}"
압구정화로구이 위례점,"육류,고기요리",없음,0.0,744,244,1030555605,"경기 성남시 수정구 위례광장로 70 1층 124, 125호","화
16:00 - 23:00 /수
16:00 - 23:00 /목
16:00 - 23:00 /금
16:00 - 23:00 /토
11:30 - 23:00 /일
11:30 - 23:00 /월
16:00 - 23:00 /",0507-1474-7457,"{'x': 37.472476806814, 'y': 127.14333102782943}"
성성칼국수,"칼국수,만두",없음,4.4,"2,164",289,1488230856,경기 성남시 수정구 위례광장로 300 205호,"매일
11:00 - 21:30
21:00 라스트오더 /",031-721-1108,"{'x': 37.473447300000004, 'y': 127.1427856187999}"
올드몬트베이글 위례본점,베이커리,없음,0.0,"1,793",155,1410740245,경기 성남시 수정구 위례광장로 104 1층 1075호,"화
09:00 - 20:00 /수
09:00 - 20:00 /목
09:00 - 20:00 /금
09:00 - 20:00 /토
08:30 - 22:00 /일
08:30 - 22:00 /월
09:00 - 20:00 /",031-1522-9880,"{'x': 37.4727099, 'y': 127.1415588}"
맛찬들왕소금구이 위례점,"육류,고기요리",없음,4.51,"2,260",523,1915489251,경기 성남시 수정구 위례광장로 104 한화 오벨리스크 1029호,"매일
11:30 - 23:30 /",0507-1340-3236,"{'x': 37.4727099, 'y': 127.1415588}"
소담촌 위례신도시점,샤브샤브,없음,0.0,"1,789",252,1819079968,경기 성남시 수정구 위례광장로 300 507호,"매일
10:30 - 21:00
20:00 라스트오더 /",031-723-7077,"{'x': 37.473447300000004, 'y': 127.1427856187999}"
위클리커피 송파위례점,"카페,디저트",없음,4.66,379,235,1130384885,서울 송파구 위례광장로 230 B123,"화
08:30 - 18:30
18:00 라스트오더 /수
08:30 - 18:30
18:00 라스트오더 /목
08:30 - 18:30
18:00 라스트오더 /금
08:30 - 18:30
18:00 라스트오더 /토
09:00 - 18:30
18:00 라스트오더 /일
09:00 - 18:30
18:00 라스트오더 /월
08:30 - 18:30
18:00 라스트오더 /",0507-1393-1744,"{'x': 37.4783867, 'y': 127.1434008}"
따딩홍콩덕,중식당,없음,0.0,255,176,1805602777,경기 성남시 수정구 위례광장로 320 204호,"화
12:00 - 22:00
21:00 라스트오더 /수
12:00 - 22:00
21:00 라스트오더 /목
12:00 - 22:00
21:00 라스트오더 /금
12:00 - 22:00
21:00 라스트오더 /토
12:00 - 22:00
21:00 라스트오더 /일
12:00 - 22:00
21:00 라스트오더 /월
12:00 - 22:00
21:00 라스트오더 /",없음,"{'x': 37.472476806814, 'y': 127.14333102782943}"
